,,,,,,,
,JULIO,,,,,,
,Últimos,Visualizaciones,Seguidores netos,Interacciones,Seguidores,No seguidores,
,30 días,,,,,,
,,,,,,,
,,,,,,,
,Reels/dumps,Reel ,Dump,Visualizaciones,Cuentas alcanzadas,Tiempo promedio de reproduccion (segundos),Nuevos seguidores
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Público,%,,,,,
,Argentina,,,,,,
,Estados unidos,,,,,,
,España,,,,,,
,México,,,,,,
,Uruguay,,,,,,
,,,,,,,
,Resumen de lo que pasó en el mes,,,,,,
,Visualizaciones,Visualizaciones de no seguidores,Seguidores,,,,
,240000,48%,17000,,,,
,,,,,,,
,,,,,,,
,Compartiste,,,,,,
,reels,publicaciones,Historias,,,,
,13,4,113,,,,
,,,,,,,
,Momentos de mayor actividad,,,,,,
,,Martes,Domingo,,,,
,6-9 pm,x,x,,,,
,9 -12 pm,x,,,,,
