,,,,,,,
,,Visualizaciones,Seguidores netos,Interacciones,Seguidores,No seguidores,
,30 días,209681,110,5650,"53,2","46,8",
,,,,,,,
,,,,,,,
,Reels/dumps,Reel ,Dump,Visualizaciones,Cuentas alcanzadas,Tiempo promedio de reproduccion (segundos),Nuevos seguidores
,Hotel para perros,x,,14327,9952,5,1
,Outfit camiseta del mundial,x,,14271,9373,21,68
,Cordova,,x,10141,4061,152,4
,Outfit camiseta del mundial 2,x,,9759,7005,25,44
,Post día del orgullo,,x,9092,3319,85,1
,,,,,,,
,,,,,,,
,Público,%,,,,,
,Argentina,32,,,,,
,Estados unidos,"17,6",,,,,
,España,"6,7",,,,,
,México,"4,9",,,,,
,Uruguay,"3,3",,,,,
,,,,,,,
,Resumen de lo que pasó en el mes,,,,,,
,,,,,,,
,Visualizaciones,Visualizaciones de no seguidores,Seguidores,,,,
,268000,66,17000,,,,
,,,,,,,
,,,,,,,
,Compartiste,,,,,,
,reels,publicaciones,Historias,,,,
,7,2,112,,,,
,,,,,,,
,Momentos de mayor actividad,,,,,,
,,,,,,,
,,Martes,Domingo,,,,
,6-9 pm,x,x,,,,
,9 -12 pm,x,,,,,
